來源,類別,產品名,規格,業者品牌,縣市,批號,有效日期,啟用比對
食藥署-預防性下架清單(2026-07-08),成品,沙茶醬 2.9公斤/罐,,富達食品有限公司,臺中市,,2028.05.05,是
食藥署-預防性下架清單(2026-07-08),成品,椒麻拌醬,,味源股份有限公司,臺中市,,2027.04.27,是
食藥署-預防性下架清單(2026-07-08),成品,油蔥拌醬,,味源股份有限公司,臺中市,,2027.06.24,是
食藥署-預防性下架清單(2026-07-08),成品,椒麻油,,味源股份有限公司,臺中市,,2027.06.23,是
食藥署-預防性下架清單(2026-07-08),成品,油蔥蒜醬,,味源股份有限公司,臺中市,,2027.04.23,是
食藥署-預防性下架清單(2026-07-08),成品,麵包,,大買家股份有限公司大里國光分公司,臺中市,,即食品(已過食用期限),是
食藥署-預防性下架清單(2026-07-08),成品,熟食,,大買家股份有限公司大里國光分公司,臺中市,,即食品(已過食用期限),是
食藥署-預防性下架清單(2026-07-08),成品,素瓜仔肉罐頭,,頂裕食品股份有限公司,臺中市,,2030.04.15,是
食藥署-預防性下架清單(2026-07-08),成品,切達芝士餡,,金安信食品有限公司,臺中市,,2026/10/6、2026/10/11,是
食藥署-預防性下架清單(2026-07-08),成品,北海道牛奶風味餡,,金安信食品有限公司,臺中市,,2026/10/10,是
食藥署-預防性下架清單(2026-07-08),成品,蜜烤地瓜餡,,金安信食品有限公司,臺中市,,2026/10/6、2026/10/11,是
食藥署-預防性下架清單(2026-07-08),成品,烤地瓜餡,,金安信食品有限公司,臺中市,,2026/10/6、2026/10/11,是
食藥署-預防性下架清單(2026-07-08),成品,蔬果南瓜泥,,金安信食品有限公司,臺中市,,2026/10/6,是
食藥署-預防性下架清單(2026-07-08),成品,日式果子皮,,金安信食品有限公司,臺中市,,2027/4/23、2027/4/29,是
食藥署-預防性下架清單(2026-07-08),成品,紅豆餡,,金安信食品有限公司,臺中市,,2026/7/12、2026/7/13,是
食藥署-預防性下架清單(2026-07-08),成品,蛋糕用芋泥餡,,金安信食品有限公司,臺中市,,2026/5/3,是
食藥署-預防性下架清單(2026-07-08),成品,香芋豆餡,,金安信食品有限公司,臺中市,,2026/7/12、2026/7/14,是
食藥署-預防性下架清單(2026-07-08),成品,醇芋餡(顆粒),,金安信食品有限公司,臺中市,,2026/5/28、2026/5/30,是
食藥署-預防性下架清單(2026-07-08),成品,F.P芋頭粒餡CL,,金安信食品有限公司,臺中市,,2026/7/13,是
食藥署-預防性下架清單(2026-07-08),成品,芋頭餡,,金安信食品有限公司,臺中市,,2026/10/9、2026/10/11、2027/4/14,是
食藥署-預防性下架清單(2026-07-08),成品,炭焙烏龍茶餡,,金安信食品有限公司,臺中市,,2027/1/4,是
食藥署-預防性下架清單(2026-07-08),成品,白玉QQ麻糬,,金安信食品有限公司,臺中市,,2026/10/6、2026/10/9、2027/4/9,是
食藥署-預防性下架清單(2026-07-08),成品,Q心黑糖麻糬,,金安信食品有限公司,臺中市,,2026/12/8,是
食藥署-預防性下架清單(2026-07-08),成品,Q心原味麻糬M.T,,金安信食品有限公司,臺中市,,2026/12/10,是
食藥署-預防性下架清單(2026-07-08),成品,黑糖麻糬餡片,,金安信食品有限公司,臺中市,,2026/10/9,是
食藥署-預防性下架清單(2026-07-08),成品,拔絲麻糬,,金安信食品有限公司,臺中市,,2026/4/13製造,是
食藥署-預防性下架清單(2026-07-08),成品,原味麻糬切丁,,金安信食品有限公司,臺中市,,2027/4/12,是
食藥署-預防性下架清單(2026-07-08),成品,蜂蜜麻糬切丁,,金安信食品有限公司,臺中市,,2027/4/12,是
食藥署-預防性下架清單(2026-07-08),成品,黑糖麻糬切丁,,金安信食品有限公司,臺中市,,2026/10/9,是
食藥署-預防性下架清單(2026-07-08),成品,和風黑糖QQ切丁,,金安信食品有限公司,臺中市,,2026/10/11,是
食藥署-預防性下架清單(2026-07-08),成品,原味巧達Q心仁,,金安信食品有限公司,臺中市,,2026/10/11,是
食藥署-預防性下架清單(2026-07-08),成品,鹹蛋黃Q心仁,,金安信食品有限公司,臺中市,,2026/12/7、2026/12/12、2027/1/28,是
食藥署-預防性下架清單(2026-07-08),成品,素食包子,,源泰昌食品工廠,彰化縣,,即食品(已過食用期限),是
食藥署-預防性下架清單(2026-07-08),成品,水餃等麵製品,,禾家香食品股份有限公司,彰化縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,肉鬆,,巧福實業股份有限公司,彰化縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,清鍋底醬,,金福華,南投縣,,2027.04.12,是
食藥署-預防性下架清單(2026-07-08),成品,香蒜青蔥醬,,金福華,南投縣,,2027.04.14,是
食藥署-預防性下架清單(2026-07-08),成品,麻辣醬,,金福華,南投縣,,2029.04.19,是
食藥署-預防性下架清單(2026-07-08),成品,豆瓣醬,,金福華,南投縣,,2027.04.12、2027.04.13、2027.04.14,是
食藥署-預防性下架清單(2026-07-08),成品,綠咖哩湯底,,金福華,南投縣,,2027.04.15,是
食藥署-預防性下架清單(2026-07-08),成品,泰式打拋豬肉炒飯170g,,,南投縣,,2027.04.23、2027.04.30,是
食藥署-預防性下架清單(2026-07-08),成品,奶油培根義大利麵225g,,,南投縣,,2027.04.22、2027.04.23,是
食藥署-預防性下架清單(2026-07-08),成品,香Q白米飯160g,,,南投縣,,2027.04.22、2027.04.23,是
食藥署-預防性下架清單(2026-07-08),成品,沙茶豬肉蛋炒飯170g,,,南投縣,,2027.04.28,是
食藥署-預防性下架清單(2026-07-08),成品,泰式辣炒雞肉拌飯280g,,,南投縣,,2027.04.28,是
食藥署-預防性下架清單(2026-07-08),成品,秘製滷雞翅100g,,,南投縣,,2027.04.22、2027.04.24,是
食藥署-預防性下架清單(2026-07-08),成品,勁辣泰式打拋豬200g,,,南投縣,,2027.04.26,是
食藥署-預防性下架清單(2026-07-08),成品,紅藜燕麥飯120g,,,南投縣,,2027.04.26,是
食藥署-預防性下架清單(2026-07-08),成品,番茄紅醬義大利麵220g,,,南投縣,,2027.04.21,是
食藥署-預防性下架清單(2026-07-08),成品,蒜香醃漬里肌豬排2200g,,,南投縣,,2027.04.21,是
食藥署-預防性下架清單(2026-07-08),成品,111年醃漬清肉排80g 2200g,,,南投縣,,2027.04.19,是
食藥署-預防性下架清單(2026-07-08),成品,112年醃漬原味雞胸塊 3000g,,,南投縣,,2027.04.20,是
食藥署-預防性下架清單(2026-07-08),成品,113年打拋雞肉醬1000g,,,南投縣,,2027.04.15、2027.04.16,是
食藥署-預防性下架清單(2026-07-08),成品,醃漬薄漿清肉排65g CL 1950g,,,南投縣,,2027.04.19,是
食藥署-預防性下架清單(2026-07-08),成品,醃漬黃金油雞腿排肉80gCL 2000g,,,南投縣,,2027.04.19、2027.04.20,是
食藥署-預防性下架清單(2026-07-08),成品,冷凍醃漬香雞排 2600g,,,南投縣,,2027.04.19,是
食藥署-預防性下架清單(2026-07-08),成品,2300g(中翅)/2500g(翅腿,,,南投縣,,2026.04.25、2026.04.26,是
食藥署-預防性下架清單(2026-07-08),成品,檸檬雞柳條1000g,,,南投縣,,2027.04.20,是
食藥署-預防性下架清單(2026-07-08),成品,黑胡椒豬肉燴飯 320g,,,南投縣,,2027.04.21,是
食藥署-預防性下架清單(2026-07-08),成品,香檸三節翅 2250g,,,南投縣,,2027.04.20,是
食藥署-預防性下架清單(2026-07-08),成品,美式燒烤翅腿600g,,,南投縣,,2027.04.20,是
食藥署-預防性下架清單(2026-07-08),成品,蟹肉風味炒飯200g,,,南投縣,,2027.04.21,是
食藥署-預防性下架清單(2026-07-08),成品,雞肉玉米蛋炒飯230g,,,南投縣,,2027.04.16、2027.04.24,是
食藥署-預防性下架清單(2026-07-08),成品,肉絲蛋炒飯230g,,,南投縣,,2027.04.29,是
食藥署-預防性下架清單(2026-07-08),成品,培根蛋炒飯230g,,,南投縣,,2027.04.17、2027.04.23、2027.04.30,是
食藥署-預防性下架清單(2026-07-08),成品,蕃茄紅醬義大利麵230g,,,南投縣,,2027.04.29,是
食藥署-預防性下架清單(2026-07-08),成品,泰式打拋豬肉炒飯190g,,,南投縣,,2027.04.22,是
食藥署-預防性下架清單(2026-07-08),成品,培根香蔥蛋炒飯230g,,,南投縣,,2027.04.17,是
食藥署-預防性下架清單(2026-07-08),成品,清香羅勒義大利麵230g,,,南投縣,,2027.04.28,是
食藥署-預防性下架清單(2026-07-08),成品,泰式打拋豬肉醬(凍)1000g,,,南投縣,,2027.04.17,是
食藥署-預防性下架清單(2026-07-08),成品,卜蜂泰式打拋豬肉醬1000g,,,南投縣,,2027.04.28,是
食藥署-預防性下架清單(2026-07-08),成品,爆炒滷雞胗116g,,,南投縣,,2026.05.16-27,是
食藥署-預防性下架清單(2026-07-08),成品,義式經典嫩雞胸100g,,,南投縣,,2026.06.06-08、2026.06.10-12,是
食藥署-預防性下架清單(2026-07-08),成品,黑胡椒蒜味雞柳條120g,,,南投縣,,2026.04.27-30,是
食藥署-預防性下架清單(2026-07-08),成品,義式雞胸肉840g,,,南投縣,,2026.07.04、2026.07.08、2026.07.11,是
食藥署-預防性下架清單(2026-07-08),成品,瑪莎曼咖哩雞肉840g,,,南投縣,,2026.07.04、2026.07.08、2026.07.11,是
食藥署-預防性下架清單(2026-07-08),成品,川味椒麻雞胸肉1000g,,,南投縣,,2026.05.27-31、2026.06.01-06,是
食藥署-預防性下架清單(2026-07-08),成品,健康廚房纖活優格沙拉醬,,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,台式香甜沙拉(無扣環),,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,105沙拉,,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,味全美食沙拉(205/白玉沙拉),,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,日式山葵風味沙拉醬(安倖),,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,歐風甜口沙拉醬(歐式沙拉醬),,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,歐風甜口沙拉醬(香純),,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,日式芳醇原味沙拉醬,,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,101沙拉,,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,101-日式蛋黃沙拉醬,,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,106-歐風酸甜沙拉醬,,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,F-104歐風鹹式沙拉醬,,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,F-101日式蛋黃醬,,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,健康廚房-焙煎芝麻,,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,屋馬焙煎芝麻醬,,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,味全焙煎芝麻(109版),,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,經典凱薩沾拌淋醬(新),,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,油醋沙拉醬-經典凱薩(108新版),,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,特級沙拉醬,,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,味全沙拉醬袋裝,,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,F-台式特級沙拉,,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,味全105S沙拉醬,,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,105沙拉醬袋裝,,味全食品工業股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,原汁牛肉湯麵(袋裝),,味王股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,紅燒牛肉湯麵(袋裝、碗裝),,味王股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,金味王紅燒牛肉麵(碗裝),,味王股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,十三香麻辣拌麵(袋裝、碗裝),,味王股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,辣辣麻辣燙湯麵(袋裝),,味王股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,辣辣海鮮湯麵(袋裝),,味王股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,素食麵(袋裝),,味王股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,燻香素雞湯麵(桶裝),,味王股份有限公司,雲林縣,,調查中,是
食藥署-預防性下架清單(2026-07-08),成品,油炸豆包,,張O發,雲林縣,,散裝，已逾有效日期,是
食藥署-預防性下架清單(2026-07-08),成品,川味紅油冷麵醬,,聯瑞食品科技股份有限公司,臺南市,,2027.06.28,是
食藥署-預防性下架清單(2026-07-08),成品,赤象拔蚌沙拉,,聯瑞食品科技股份有限公司,臺南市,,2027.11.28,是
食藥署-預防性下架清單(2026-07-08),成品,水果沙拉,,聯瑞食品科技股份有限公司,臺南市,,2027.05.18、2027.05.19,是
食藥署-預防性下架清單(2026-07-08),成品,辣味美乃滋,,聯瑞食品科技股份有限公司,臺南市,,2027.05.10、2027.05.11,是
食藥署-預防性下架清單(2026-07-08),成品,維義大豆沙拉油,,維義事業股份有限公司,高雄市,,2027.04.03,是
食藥署-預防性下架清單(2026-07-08),成品,順發興專用油,,維義事業股份有限公司,高雄市,,2027.04.03,是
食藥署-預防性下架清單(2026-07-08),成品,鼎冠油炸專用油,,維義事業股份有限公司,高雄市,,2027.04.14,是
食藥署-預防性下架清單(2026-07-08),成品,鼎冠大豆沙拉油,,維義事業股份有限公司,高雄市,,2027.04.03,是
食藥署-預防性下架清單(2026-07-08),成品,里仁調味便當菜155g,,明德食品工業股份有限公司,高雄市,,2028.04.23,是
食藥署-預防性下架清單(2026-07-08),成品,紅油辣椒410g,,明德食品工業股份有限公司,高雄市,,2029.04.26,是
食藥署-預防性下架清單(2026-07-08),成品,甜麵醬460g,,明德食品工業股份有限公司,高雄市,,2028.04.28,是
食藥署-預防性下架清單(2026-07-08),成品,眷村剁椒蒜香,,明德食品工業股份有限公司,高雄市,,2029.04.27,是
食藥署-預防性下架清單(2026-07-08),成品,老北京440g,,明德食品工業股份有限公司,高雄市,,2029.04.29,是
食藥署-預防性下架清單(2026-07-08),成品,家常辣270g,,明德食品工業股份有限公司,高雄市,,2029.05.04,是
食藥署-預防性下架清單(2026-07-08),成品,訂製品_甜麵醬含香油及乳酸20kg,,明德食品工業股份有限公司,高雄市,,2026.09.05,是
食藥署-預防性下架清單(2026-07-08),成品,甜麵醬3kg,,明德食品工業股份有限公司,高雄市,,2027.05.06,是
食藥署-預防性下架清單(2026-07-08),成品,眷村剁椒蒜香150g,,明德食品工業股份有限公司,高雄市,,2029.05.12,是
食藥署-預防性下架清單(2026-07-08),成品,黑芝麻醬TA-6320,,台灣有明食品股份有限公司,屏東縣,,2026.10.23,是
食藥署-預防性下架清單(2026-07-08),成品,金豚骨湯TA-6154,,台灣有明食品股份有限公司,屏東縣,,2027.04.23,是
食藥署-預防性下架清單(2026-07-08),成品,多蜜醬TA,,台灣有明食品股份有限公司,屏東縣,,2027.04.27,是
食藥署-預防性下架清單(2026-07-08),成品,黃金味噌醬,,台灣有明食品股份有限公司,屏東縣,,2027.04.29,是
食藥署-預防性下架清單(2026-07-08),成品,柴魚昆布TA-2271,,台灣有明食品股份有限公司,屏東縣,,2027.05.03,是
食藥署-預防性下架清單(2026-07-08),成品,白芝麻醬TA-6298,,台灣有明食品股份有限公司,屏東縣,,2026.11.05,是
食藥署-預防性下架清單(2026-07-08),成品,四川豚骨麻辣TA-2232,,台灣有明食品股份有限公司,屏東縣,,2027.05.05,是
食藥署-預防性下架清單(2026-07-08),成品,九州豚骨,,台灣有明食品股份有限公司,屏東縣,,2027.05.07,是
食藥署-預防性下架清單(2026-07-08),成品,豚骨高湯TA-6630,,台灣有明食品股份有限公司,屏東縣,,2027.08.07,是
食藥署-預防性下架清單(2026-07-08),成品,黑咖哩醬TA-1249,,台灣有明食品股份有限公司,屏東縣,,2027.05.07,是
食藥署-預防性下架清單(2026-07-08),成品,甘口黑咖哩TA-1705,,台灣有明食品股份有限公司,屏東縣,,2027.05.10,是
食藥署-預防性下架清單(2026-07-08),成品,麻辣火鍋TA-3683,,台灣有明食品股份有限公司,屏東縣,,2027.05.10,是
食藥署-預防性下架清單(2026-07-08),成品,柴魚昆布TA-2380,,台灣有明食品股份有限公司,屏東縣,,2027.05.13,是
食藥署-預防性下架清單(2026-07-08),成品,麻辣高湯TA-6899,,台灣有明食品股份有限公司,屏東縣,,2027.05.14,是
食藥署-預防性下架清單(2026-07-08),成品,牛肉湯TA-3899,,台灣有明食品股份有限公司,屏東縣,,2027.05.14,是
食藥署-預防性下架清單(2026-07-08),成品,日式咖哩醬BFT,,台灣有明食品股份有限公司,屏東縣,,2027.05.17,是
食藥署-預防性下架清單(2026-07-08),成品,黑咖哩醬TA-5495,,台灣有明食品股份有限公司,屏東縣,,2027.05.17,是
食藥署-預防性下架清單(2026-07-08),成品,海鮮醬油TA-5758,,台灣有明食品股份有限公司,屏東縣,,2027.05.18,是
食藥署-預防性下架清單(2026-07-08),成品,燒肉醬TA,,台灣有明食品股份有限公司,屏東縣,,2027.05.19,是
食藥署-預防性下架清單(2026-07-08),成品,拌麵醬TA-6805,,台灣有明食品股份有限公司,屏東縣,,2027.05.25,是
食藥署-預防性下架清單(2026-07-08),成品,濃厚豚骨高湯TA-3338,,台灣有明食品股份有限公司,屏東縣,,2027.05.27,是
食藥署-預防性下架清單(2026-07-08),成品,大蒜激辛拉麵高湯TA-4774,,台灣有明食品股份有限公司,屏東縣,,2027.06.15,是
食藥署-預防性下架清單(2026-07-08),成品,味噌醃醬TA-7152,,台灣有明食品股份有限公司,屏東縣,,2027.06.17,是
食藥署-預防性下架清單(2026-07-08),成品,SH番茄汁鮪魚腹肉,,惠眾食品工業股份有限公司,宜蘭縣,,2029.6.10,是
食藥署-預防性下架清單(2026-07-08),成品,紅SH油漬鮪魚,,惠眾食品工業股份有限公司,宜蘭縣,,2029.6.11,是
食藥署-預防性下架清單(2026-07-08),成品,綠SH油漬鮪魚,,惠眾食品工業股份有限公司,宜蘭縣,,2029.6.10,是
食藥署-預防性下架清單(2026-07-08),成品,三興特製紅燒鰻,,惠眾食品工業股份有限公司,宜蘭縣,,2029.6.7、2029.6.8,是
食藥署-預防性下架清單(2026-07-08),成品,三興辣味燒鰻,,惠眾食品工業股份有限公司,宜蘭縣,,2029.6.9,是
食藥署-預防性下架清單(2026-07-08),成品,豆竹,,隆盛食品冷凍股份有限公司,宜蘭縣,,2027.5.12、2027.6.1、2027.6.2,是
食藥署-預防性下架清單(2026-07-08),成品,北海貝,,隆盛食品冷凍股份有限公司,宜蘭縣,,2027.5.19,是
食藥署-預防性下架清單(2026-07-08),成品,魚豆腐,,隆盛食品冷凍股份有限公司,宜蘭縣,,2027.5.19、2027.5.31、2027.6.2,是
食藥署-預防性下架清單(2026-07-08),成品,起司海鲜卷,,隆盛食品冷凍股份有限公司,宜蘭縣,,2027.5.20,是
食藥署-預防性下架清單(2026-07-08),成品,竹輪,,隆盛食品冷凍股份有限公司,宜蘭縣,,2027.5.21、2027.5.24,是
食藥署-預防性下架清單(2026-07-08),成品,切片椿花,,隆盛食品冷凍股份有限公司,宜蘭縣,,2027.5.21,是
食藥署-預防性下架清單(2026-07-08),成品,北海翅,,隆盛食品冷凍股份有限公司,宜蘭縣,,2027.5.26、2027.5.27,是
食藥署-預防性下架清單(2026-07-08),成品,香檬麻吉燒,,隆盛食品冷凍股份有限公司,宜蘭縣,,2027.5.26,是
食藥署-預防性下架清單(2026-07-08),成品,魚卵卷,,隆盛食品冷凍股份有限公司,宜蘭縣,,2027.5.27,是
食藥署-預防性下架清單(2026-07-08),成品,切片魚板,,隆盛食品冷凍股份有限公司,宜蘭縣,,2027.5.28、2027.5.31、2027.6.1,是
食藥署-預防性下架清單(2026-07-08),成品,一口天,,隆盛食品冷凍股份有限公司,宜蘭縣,,2027.5.17、2027.6.1,是
食藥署-預防性下架清單(2026-07-08),成品,一級棒A,,隆盛食品冷凍股份有限公司,宜蘭縣,,2027.5.17,是
食藥署-預防性下架清單(2026-07-08),成品,圓蝦味球,,隆盛食品冷凍股份有限公司,宜蘭縣,,2027.5.25,是
食藥署-預防性下架清單(2026-07-08),成品,蝦味球,,隆盛食品冷凍股份有限公司,宜蘭縣,,2027.5.25,是
商周懶人包(補充),成品,木燻雞飯糰,,,基隆市,,,是
商周懶人包(補充),成品,王牌液態油炸專用油,,,臺北市,,,是
商周懶人包(補充),成品,辣油,,,臺中市,,,否
商周懶人包(補充),成品,素瓜子肉罐頭,,,臺中市,,,是
商周懶人包(補充),成品,烘焙用餡料,,,臺中市,,,否
商周懶人包(補充),成品,沙茶醬,,,南投縣,,,否
商周懶人包(補充),成品,麻辣鴨血,,,南投縣,,,是
商周懶人包(補充),成品,黃金調和油,,,雲林縣,,,是
商周懶人包(補充),成品,辣味美奶滋,,,臺南市,,,是
商周懶人包(補充),成品,普通香油,,,屏東縣,,,否
商周懶人包(補充),成品,特級香油,,,屏東縣,,,否
商周懶人包(補充),成品,香油,,,屏東縣,,,否
商周懶人包(補充),成品,普通麻油,,,屏東縣,,,否
商周懶人包(補充),成品,麻醬包,,,屏東縣,,,否
商周懶人包(補充),成品,興特製紅燒鰻,,,宜蘭縣,,,是
商周懶人包(補充),成品,一級棒,,,宜蘭縣,,,是
商周懶人包(補充),成品,起司海鮮卷,,,宜蘭縣,,,是
